TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,LEFT_CONTEXT,RIGHT_CONTEXT,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S002,6,1,110,"defeated the Cleveland Cavaliers, ",", at Quicken Loans Arena on Tuesday.",11.0,11.0,NUMBER,,,llama_small,p4,2866.39
S002,9,1,28,season-high ,points,,,NUMBER,24,"Schroder's season-high 28 points led the Hawks, which he complemented with six assists and two rebounds.",llama_small,p4,2866.39
S002,13,1,29,game-high ,points,256.0,256.0,NUMBER,,"Irving's game-high 29 points led the team, which he needed a whopping 27 shot attempts to get to.",llama_small,p4,2866.39
S002,15,1,24,stretch of excellent early-,points,274.0,274.0,NUMBER,,"Love continued his stretch of excellent early-season play, supplying 24 points, 12 rebounds, three assists and two steals.",llama_small,p4,2866.39
S002,17,1,23,a typically full stat line of ,points,236.0,236.0,NUMBER,,"James registered a typically full stat line of 23 points, nine rebounds, five assists and three steals.",llama_small,p4,2866.39
S002,19,1,13,led the reserves with ,points,,,NUMBER,,"Frye led the reserves with 13 points, seven rebounds and an assist.",llama_small,p4,2866.39
S003,1,2,109,"Raptors defeated the Magic,","79, at Amway Center on Sunday.",9.0,9.0,NUMBER,,Box score shows 109 points.,llama_small,p4,2866.39
S003,2,3,79,"Magic,",", at Amway Center on Sunday.",11.0,11.0,NUMBER,,Box score shows 79 points.,llama_small,p4,2866.39
S003,3,4,109,"Raptors won the second and third quarters,",61-34 to eventually pull away and win by 30.,9.0,9.0,NUMBER,,Box score shows 109 points.,llama_small,p4,2866.39
S003,4,5,79,the Magic to,41 percent from the field and 3-of-21 from three-point range.,11.0,11.0,NUMBER,,Box score shows 79 points.,llama_small,p4,2866.39
S003,5,6,109,Toronto won the game with a final score of,", at Amway Center on Sunday.",9.0,9.0,NUMBER,,Box score shows 109 points.,llama_small,p4,2866.39
S003,6,7,79,the Magic to,41 percent from the field and 3-of-21 from three-point range.,11.0,11.0,NUMBER,,Box score shows 79 points.,llama_small,p4,2866.39
S003,7,8,109,Toronto won the game with a final score of,", at Amway Center on Sunday.",9.0,9.0,NUMBER,,Box score shows 109 points.,llama_small,p4,2866.39
S003,8,9,79,the Magic to,41 percent from the field and 3-of-21 from three-point range.,11.0,11.0,NUMBER,,Box score shows 79 points.,llama_small,p4,2866.39
S003,9,10,109,Toronto won the game with a final score of,", at Amway Center on Sunday.",9.0,9.0,NUMBER,,Box score shows 109 points.,llama_small,p4,2866.39
S003,10,11,79,the Magic to,41 percent from the field and 3-of-21 from three-point range.,11.0,11.0,NUMBER,,Box score shows 79 points.,llama_small,p4,2866.39
S003,11,12,109,Toronto won the game with a final score of,", at Amway Center on Sunday.",9.0,9.0,NUMBER,,Box score shows 109 points.,llama_small,p4,2866.39
