TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,TIME_SECONDS
S003,1,1,"The Toronto Raptors defeated the Orlando Magic , 109 - 79 , at Amway Center on Saturday evening .",1,19,NAME,Sunday,"Game was on Sunday, not Saturday",qwen_small,318.54
S003,1,2,The Raptors ( 19 - 8 ),20,26,NUMBER,19-8,Corrected to match the box score,qwen_small,318.54
S003,2,2,"have been one of the hottest teams in the NBA this season , and the Raptors ( 19 - 8 )",27,47,NUMBER,19-8,Corrected to match the box score,qwen_small,318.54
S003,3,1,"The Raptors were led by DeMar DeRozan , who posted a game - high 31 points , which he supplemented with five rebounds , four assists and a steal .",69,98,NUMBER,31,Corrected to match the box score,qwen_small,318.54
S003,4,1,"Kyle Lowry was right behind him with a 16 - point , 10 - assist double - double that also included three rebounds , a steal and a block .",99,128,NUMBER,16,Corrected to match the box score,qwen_small,318.54
S003,5,1,"Jonas Valanciunas was next with a 16 - point , 13 - rebound double - double that also included a block , a block and a block .",129,156,NUMBER,16,Corrected to match the box score,qwen_small,318.54
S003,6,1,"Terrence Ross was productive in a reserve role as well with 11 points , two rebounds , a steal and a block .",183,205,NUMBER,11,Corrected to match the box score,qwen_small,318.54
S003,7,1,"Toronto remains in third place in the Eastern Conference 's Atlantic Division , and are currently slotted in the seventh seed in the conference as well .",206,232,NAME,Southeast,Corrected to match the box score,qwen_small,318.54
S003,8,1,They head to Charlotte to take on the Hornets on Friday night .,233,245,NAME,Friday,"Game is on Friday, not Friday night",qwen_small,318.54
S003,9,1,"Orlando 's attack was spearheaded by Elfrid Payton , who tallied 13 points , three assists , two rebounds and a steal .",246,268,NUMBER,13,Corrected to match the box score,qwen_small,318.54
S003,10,1,"Aaron Gordon was next with a 10 - point , 12 - rebound double - double that also included an assist , a steal and a block .",269,296,NUMBER,10,Corrected to match the box score,qwen_small,318.54
S003,11,1,"Elfrid Payton was next with 13 points , two assists , two rebounds and a steal .",297,313,NUMBER,13,Corrected to match the box score,qwen_small,318.54
S003,13,1,"DJ Augustin was productive in a reserve role as well with 11 points , three rebounds , two assists and a pair of steals .",342,366,NUMBER,11,Corrected to match the box score,qwen_small,318.54
S004,1,2,Vivint Smart Home Arena,16,19,NAME,Salt,Arena name is incorrect,qwen_small,318.54
S004,2,3,The Jazz ( 1 - 1 ),23,29,NUMBER,1-1,Record is incorrect,qwen_small,318.54
S004,3,4,outscored the Lakers by 16 in the fourth quarter .,68,77,NUMBER,16,Margin of victory is incorrect,qwen_small,318.54
S004,5,6,43 - 24,120,122,NUMBER,43-24,Rebounding margin is incorrect,qwen_small,318.54
