TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,2,1,30,54.0,54.0,NUMBER,6,"The Celtics won by 6 points, not 30.",qwen_14b,p0d_sent,7403.17
S001,3,1,six,82.0,82.0,NUMBER,five,"Isaiah Thomas had 38 points, six assists, two rebounds, and one steal, making the total number of stats five.",qwen_14b,p0d_sent,7403.17
S001,3,2,steal,89.0,89.0,WORD,,"Isaiah Thomas had one steal, but the sentence implies he had multiple steals.",qwen_14b,p0d_sent,7403.17
S001,5,1,18,25.0,25.0,NUMBER,17,"Jae Crowder scored 17 points, not 18.",qwen_14b,p0d_sent,7403.17
S001,5,2,12,120.0,120.0,NUMBER,11,"Jae Crowder had 11 rebounds, not 12.",qwen_14b,p0d_sent,7403.17
S001,7,1,18,25.0,25.0,NUMBER,17,"Jae Crowder scored 17 points, not 18.",qwen_14b,p0d_sent,7403.17
S001,7,2,six,82.0,82.0,NUMBER,five,"Jae Crowder had five rebounds, not six.",qwen_14b,p0d_sent,7403.17
S001,9,1,10,196.0,196.0,NUMBER,7,"Kelly Olynyk had 7 points, not 10.",qwen_14b,p0d_sent,7403.17
S001,9,2,nine,199.0,199.0,NUMBER,3,"Kelly Olynyk had 3 rebounds, not 9.",qwen_14b,p0d_sent,7403.17
S001,10,1,Detroit Pistons,220.0,221.0,NAME,Toronto Raptors,"The Lakers played against the Celtics, not the Detroit Pistons.",qwen_14b,p0d_sent,7403.17
S001,10,2,Toronto Raptors,234.0,235.0,NAME,Detroit Pistons,"The Celtics played against the Lakers, not the Toronto Raptors.",qwen_14b,p0d_sent,7403.17
S001,10,3,Wednesday,18.0,18.0,NAME,Friday,"The game was played on a Friday, not a Wednesday.",qwen_14b,p0d_sent,7403.17
S002,1,1,Atlanta Hawks,2.0,3.0,NAME,Cleveland Cavaliers,"The sentence incorrectly states that the Atlanta Hawks defeated the Atlanta Hawks, when it should be the Atlanta Hawks defeating the Cleveland Cavaliers.",qwen_14b,p0d_sent,7403.17
S002,1,2,Saturday,18.0,18.0,NAME,Tuesday,"The game was played on Tuesday, not Saturday.",qwen_14b,p0d_sent,7403.17
S002,2,1,struggling,26.0,26.0,WORD,,Neither team can be accurately described as 'struggling'.,qwen_14b,p0d_sent,7403.17
S002,2,2,huge road win,37.0,39.0,CONTEXT,home win,"The Hawks won the game as the visiting team, but the game was actually played in Cleveland, making it a home game for the Cavaliers.",qwen_14b,p0d_sent,7403.17
S002,4,1,21,75.0,75.0,NUMBER,22,"The Hawks recorded 22 assists, not 21.",qwen_14b,p0d_sent,7403.17
S002,4,2,19,78.0,78.0,NUMBER,6,"The Cavaliers committed 6 turnovers, not 19.",qwen_14b,p0d_sent,7403.17
S002,5,1,three of their last five,102.0,106.0,NUMBER,four of their last seven,The Hawks have won four of their last seven games.,qwen_14b,p0d_sent,7403.17
S002,6,1,17,127.0,127.0,NUMBER,7,"Dwight Howard had 7 points, not 17.",qwen_14b,p0d_sent,7403.17
S002,6,2,17,127.0,127.0,NUMBER,17,"Dwight Howard had 17 rebounds, but the sentence incorrectly states he had 17 points.",qwen_14b,p0d_sent,7403.17
S002,8,1,only,164.0,164.0,WORD,,"The sentence incorrectly states that only Bazemore was in double figures, when in fact, other players like Kyrie Irving, LeBron James, and Kevin Love also reached double figures.",qwen_14b,p0d_sent,7403.17
S002,10,1,three,102.0,102.0,NUMBER,six,"The Cavaliers have won 6 games out of their last 7, not 3 out of 5.",qwen_14b,p0d_sent,7403.17
