TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,3,1,six,16,16,,,NUMBER,seven,"Isaiah Thomas had 7 assists, not 6."
S001,4,1,eight,11,11,,,NUMBER,7,Al Horford had 7 assists.
S001,5,1,Jae,1,1,,,NAME,Jae Crowder,"Player name is Jae Crowder, not Jea."
S001,2,1,a,13,13,,,WORD,an,indefinite article instead of definite article
S001,9,1,nine,11,11,,,NUMBER,two,"The sentence says Kelly Olynyk had 10 points, nine rebounds, two assists and a pair of steals, but the box score data says he had 7 points, 9 rebounds, 2 assists and 0 steals."
S002,4,1,21,17,17,,,NUMBER,19,"The assist-to-turnover ratio was the decisive statistic, with the Hawks recording 19 assists to 19 turnovers."
S002,6,1,3 - of - 5,22,26,,,NUMBER,3-of-5,Incorrect shooting percentage.
S002,7,1,n't,4,4,,,WORD,not,Typo: 'n't' should be 'not'.
S002,7,1,25,9,9,,,NUMBER,10,"Kent Bazemore had 10 points, not 25."
S002,11,1,23,16,16,,,NUMBER,29,"Kyrie Irving led the team with 29 points, not Lebron James with 23 points."
S002,12,1,second,4,4,,,WORD,first,"Kyrie Irving was first on the team in points, not second."
S002,13,1,11,13,13,,,NUMBER,12,"Kevin Love had 12 rebounds, not 11."
S003,1,1,Saturday,17,17,,,NAME,Sunday,Incorrect day of the week.
S004,3,1,16,20,20,,,NUMBER,7,"The Jazz outscored the Lakers by 7 in the fourth quarter, not 16."
S004,4,1,38,14,14,,,NUMBER,43,The Jazz held the Lakers to 43 percent from the field.
S004,5,1,43,16,16,,,NUMBER,47,"Jazz had 47 rebounds, not 43."
S004,7,1,17,12,12,,,NUMBER,9,"D'Angelo Russell scored 9 points, not 17."
S004,8,1,12,15,15,,,NUMBER,10,"Luol Deng had 10 rebounds, not 12."
S004,13,1,23,16,16,,,NUMBER,23,"The sentence does not contain any information about George Hill's performance, so the number 23 is not checkable."
S004,14,1,13,10,10,,,NUMBER,6,"Rudy Gobert finished with 6 rebounds, not 13."
S005,2,1,one,27,27,,,NUMBER,three,"The sentence says one block, but the box score data says one block is not present for Dwight Howard."
S005,5,1,27,7,7,,,NUMBER,8,"Kent Bazemore scored 8 points, not 27."
S005,1,1,21,35,35,,,NUMBER,21,The box score data does not contain the information to verify this number.
S005,1,1,three,19,19,,,NUMBER,two,"Kent Bazemore had two steals, not three."
S006,1,1,Friday,22,22,,,WORD,Tuesday,Incorrect day of the week.
S006,1,1,10,5,5,,,NUMBER,22,"James Harden scored 22 points, not 10."
S006,4,1,2,15,15,,,NUMBER,0,"Trevor Ariza was the only other starter in double figures, but he only scored 2 points, not double figures."
S006,6,1,without,6,6,,,WORD,with,The sentence should read 'The Nets played this game with Brook Lopez' instead of 'without'.
S006,7,1,24,18,18,,,NUMBER,20,"Brook Lopez scored 20 points, not 24."
S006,8,1,20,15,15,,,NUMBER,22,"Thaddeus Young had 22 points, not 20."
S007,2,1,11,7,7,,,NUMBER,7,"Westbrook had 7 assists, not 11."
S007,2,2,three,49,49,,,NUMBER,four,"Westbrook had 4 steals, not 3."
S007,2,3,one,16,16,,,NUMBER,three,"Westbrook had 3 blocks, not 1."
S007,3,1,10,22,22,,,NUMBER,11,Incorrect number of assists.
S008,3,1,9,23,23,,,NUMBER,22,"The sentence says Carter scored 9 points per game, but the box score data says he scored 22 points in the game."
S008,3,1,7,4,4,,,NUMBER,14,"The box score data shows that Mike Conley shot 7-of-14, not 7-of-7."
S008,5,1,23 minutes,26,27,,,NUMBER,13,"The box score data shows that Zach Randolph played 23 minutes, not 13 minutes."
S008,5,1,4,16,16,,,NUMBER,14,"FGA is 14, not 4."
S008,3,1,22,20,20,,,NUMBER,30,"Rudy Gobert played 30 minutes, not 22."
S009,3,1,second,26,26,,,WORD,first,"Luol Deng was first on the team, not second."
S009,3,1,double,18,18,,,WORD,single,D'Angelo Russell was the only other starter in single figures.
S009,12,1,18,12,12,,,NUMBER,6,"Khris Middleton actually accrued 6 points, not 18."
S010,5,1,27,13,13,,,NUMBER,39,"The Hawks recorded 39 rebounds, not 27."
S010,5,2,12,16,16,,,NUMBER,17,"The Hawks committed 17 turnovers, not 12."
S010,7,1,7 - of - 13,22,26,,,NUMBER,6,Incorrect number of shooting.
S010,13,1,second,4,4,,,WORD,first,"Evan Fournier was first on the team in points, not second."
S010,12,1,10,13,13,,,NUMBER,6,"Nikola Vucevic had 6 rebounds, not 10."
S011,1,1,Tuesday,22,22,,,NAME,Wednesday,Incorrect day of the week.
S011,10,1,21,18,18,,,NUMBER,20,"The text says 21 points, but the box score says 20 points."
S011,11,1,8,17,17,,,NUMBER,7,"FGM is 7, not 8."
S011,1,2,19,16,16,,,NUMBER,4,"FTM is 4, not 7."
S011,11,3,10,29,29,,,NUMBER,3,"FTA is 3, not 7."
S011,12,1,16,5,5,,,NUMBER,9,The player is averaging 9 points and 6 rebounds on the year.
S012,1,1,Friday,19,19,,,NAME,Saturday,Incorrect day of the week.
S012,3,1,Six,1,1,,,NUMBER,Four,"The sentence says six players scored in double digits, but the box score data shows four players scored in double digits."
S012,5,1,17,5,5,,,NUMBER,17,"The box score data does not contain any information about Jameer Nelson's performance, so the number of points, rebounds, and steals he had is not checkable."
S012,4,1,four,12,12,,,NUMBER,two,Incorrect number of rebounds.
S012,4,1,two,15,15,,,NUMBER,one,"Tyson Chandler had one steal, not two."
S013,3,1,4,19,19,,,NUMBER,4,"FGM is 4, not 4-12."
S013,3,2,0,24,24,,,NUMBER,0,"FG3M is 0, not 0-4."
S013,3,3,5,29,29,,,NUMBER,5,"FTA is 5, not 5-7."
S013,4,1,11,7,7,,,NUMBER,1,"FGM is 1, not 11."
S013,4,2,18,9,9,,,NUMBER,7,"FGA is 7, not 18."
S013,4,4,29,4,4,,,NUMBER,29,"MIN is 29, not 29, but the sentence is still wrong."
S013,3,5,two,38,38,,,NUMBER,1,"STL is 1, not 2."
S013,5,1,2,8,8,,,NUMBER,1,"FG made is 1, not 2."
S013,5,2,1,13,13,,,NUMBER,0,FG3M is 0
S014,2,1,34,19,19,,,NUMBER,21,"The Trail Blazers scored 21 points in the first quarter, not 34."
S014,3,1,49,13,13,,,NUMBER,47,The Trail Blazers shot 47 percent from the field.
S014,3,2,40,19,19,,,NUMBER,46,The Trail Blazers shot 46 percent from the three-point line.
S014,3,3,44,32,32,,,NUMBER,35,The Lakers shot 35 percent from the floor.
S014,3,4,30,39,39,,,NUMBER,20,The Lakers shot 20 percent from deep.
S014,6,1,37,5,5,,,NUMBER,57,The correct number of points is 57.
S014,7,1,12 - for - 20,7,11,,,NUMBER,12-20,The correct shooting percentage is 12-20.
S014,7,2,4 - for - 7,16,20,,,NUMBER,4-7,The correct shooting percentage is 4-7.
S014,8,1,56,16,16,,,NUMBER,57,"The correct number is 57, not 56."
S014,2,1,21,21,21,,,NUMBER,34,"Kobe Bryant played 34 minutes, not 21."
S014,5,1,19,7,7,,,NUMBER,19,The sentence contains duplicate information about Clarkson's points.
S015,1,1,Wednesday,22,22,,,NAME,Friday,Incorrect day of the week.
S015,4,1,8,15,15,,,NUMBER,8,"FGM is 8, not 18."
S015,4,2,1,20,20,,,NUMBER,1,"FTM is 1, not 4."
S015,4,3,4,22,22,,,NUMBER,4,"FTA is 4, not 1."
S015,5,1,13,23,23,,,NUMBER,20,"DeMarre Carroll scored 20 points, not 13."
S015,6,2,"5 - 9 FG ,",9,13,,,NUMBER,7-15,"DeMarre Carroll shot 7-15 FG, not 5-9."
S015,6,3,1 - 2 3Pt,14,17,,,NUMBER,5-10,"DeMarre Carroll shot 5-10 3Pt, not 1-2."
