TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,Wednesday,18.0,18.0,NAME,Friday,"The game was played on Friday, not Wednesday.",qwen_medium,p0a,8780.64
S001,2,2,Friday,49.0,49.0,NAME,Wednesday,"The game was played on Wednesday, not Friday.",qwen_medium,p0a,8780.64
S001,3,3,30 - point,,,NUMBER,113 - 107,"The Celtics won by 6 points, not 30 points.",qwen_medium,p0a,8780.64
S001,4,4,two,85.0,85.0,NUMBER,one,"Isaiah Thomas had one steal, not two.",qwen_medium,p0a,8780.64
S001,5,5,"18 - point , 12 - rebound double - double",,,NUMBER,"18 points, 6 rebounds","Jae Crowder had 18 points and 6 rebounds, not 12 rebounds.",qwen_medium,p0a,8780.64
S001,6,6,an assist,,,NUMBER,one assist,"Jae Crowder had one assist, not an unspecified number.",qwen_medium,p0a,8780.64
S001,7,7,a pair of steals,,,NUMBER,two steals,"Jae Crowder had two steals, not a pair of steals.",qwen_medium,p0a,8780.64
S001,8,8,a block,,,NUMBER,one block,"Jae Crowder had one block, not a block.",qwen_medium,p0a,8780.64
S001,9,9,"10 points , nine rebounds , two assists and a pair of steals",,,NUMBER,"10 points, 9 rebounds, 2 assists, 2 steals","Kelly Olynyk had 10 points, 9 rebounds, 2 assists, and 2 steals.",qwen_medium,p0a,8780.64
S001,10,10,Friday night,,,NAME,Saturday night,"The Lakers play the Pistons on Saturday, not Friday.",qwen_medium,p0a,8780.64
S001,11,11,Wednesday night,,,NAME,Friday night,"The Celtics play the Raptors on Friday, not Wednesday.",qwen_medium,p0a,8780.64
S002,1,1,Atlanta Hawks,2.0,3.0,NAME,Cleveland Cavaliers,"The visiting team is the Cleveland Cavaliers, not the Atlanta Hawks.",qwen_medium,p0a,8780.64
S002,1,2,110 - 110,9.0,11.0,NUMBER,110 - 106,"The final score is 110 - 106, not 110 - 110.",qwen_medium,p0a,8780.64
S002,1,3,Saturday,18.0,18.0,NAME,Tuesday,"The game was played on Tuesday, not Saturday.",qwen_medium,p0a,8780.64
S002,3,4,Hawks,3.0,3.0,NAME,Cavaliers,"The team that was outscored in the fourth quarter is the Cavaliers, not the Hawks.",qwen_medium,p0a,8780.64
S002,4,5,21 assists to 19 turnovers,75.0,79.0,NUMBER,22 assists to 6 turnovers,"The assist-to-turnover ratio for the Hawks is 22 assists to 6 turnovers, not 21 assists to 19 turnovers.",qwen_medium,p0a,8780.64
S002,4,6,19 turnovers to just 21 assists,85.0,90.0,NUMBER,6 turnovers to 21 assists,"The assist-to-turnover ratio for the Cavaliers is 21 assists to 6 turnovers, not 19 turnovers to 21 assists.",qwen_medium,p0a,8780.64
S002,6,7,struggling,26.0,26.0,WORD,performing well,The Hawks are not described as struggling in the provided data.,qwen_medium,p0a,8780.64
S002,7,8,17 rebounds,130.0,131.0,NUMBER,15 rebounds,"Dwight Howard had 15 rebounds, not 17.",qwen_medium,p0a,8780.64
S002,8,9,Kent Bazemore,143.0,144.0,NAME,Kent Bazemore,"This is a duplicate mention of Kent Bazemore, which is redundant.",qwen_medium,p0a,8780.64
S002,9,10,Sunday,188.0,188.0,NAME,Wednesday,"The Hawks play the Toronto Raptors on Wednesday, not Sunday.",qwen_medium,p0a,8780.64
S002,10,11,struggling,26.0,26.0,WORD,performing well,The Cavaliers are not described as struggling in the provided data.,qwen_medium,p0a,8780.64
S002,12,12,25 points,151.0,152.0,NUMBER,0 points,"Tristan Thompson scored 0 points, not 25.",qwen_medium,p0a,8780.64
S002,12,13,four assists,262.0,263.0,NUMBER,2 assists,"Tristan Thompson had 2 assists, not four.",qwen_medium,p0a,8780.64
S002,13,14,Sunday,188.0,188.0,NAME,Friday,"The Cavaliers play the Orlando Magic on Friday, not Sunday.",qwen_medium,p0a,8780.64
S003,1,1,Saturday,17.0,17.0,NAME,Sunday,"The game was played on Sunday, not Saturday.",qwen_medium,p0a,8780.64
S003,2,2,Friday,51.0,51.0,NAME,Sunday,"The game was played on Sunday, not Friday.",qwen_medium,p0a,8780.64
S003,3,3,a 30 - point victory,,,NUMBER,a 30-point victory,"The previous game between these teams resulted in a 30-point victory, but this is not verifiable without checking the previous game's score.",qwen_medium,p0a,8780.64
S003,4,4,a steal,,,WORD,no steal,DeMar DeRozan did not record a steal in this game.,qwen_medium,p0a,8780.64
S003,5,5,"a block , a block and a block",,,NUMBER,one block,"Jonas Valanciunas recorded only one block, not three.",qwen_medium,p0a,8780.64
S003,6,6,"a block , a block and a block",,,NUMBER,one block,"Jonas Valanciunas recorded only one block, not three.",qwen_medium,p0a,8780.64
S003,7,7,seventh seed,,,NUMBER,sixth seed,"The Raptors were actually the sixth seed, not the seventh.",qwen_medium,p0a,8780.64
S003,8,8,Friday night,,,NAME,Tuesday night,"The Raptors' next game is on Tuesday, not Friday.",qwen_medium,p0a,8780.64
S003,9,9,Elfrid Payton,,,NAME,Evan Fournier,"Evan Fournier, not Elfrid Payton, led the Magic in scoring.",qwen_medium,p0a,8780.64
S003,10,10,Aaron Gordon,,,NAME,Bismack Biyombo,"Bismack Biyombo, not Aaron Gordon, recorded a double-double with 12 rebounds and 8 points.",qwen_medium,p0a,8780.64
S003,11,11,Elfrid Payton,,,NAME,Evan Fournier,"Evan Fournier, not Elfrid Payton, led the Magic in scoring.",qwen_medium,p0a,8780.64
S003,12,12,Aaron Gordon,,,NAME,Bismack Biyombo,"Bismack Biyombo, not Aaron Gordon, recorded a double-double with 12 rebounds and 8 points.",qwen_medium,p0a,8780.64
S003,13,13,The Raptors remain in last place in the Eastern Conference 's Southeast Division,,,WORD,The Raptors remain in third place in the Eastern Conference's Atlantic Division,"The Raptors are in the Atlantic Division, not the Southeast Division, and they are in third place, not last place.",qwen_medium,p0a,8780.64
S003,14,14,Friday,51.0,51.0,NAME,Tuesday,"The next game is on Tuesday, not Friday.",qwen_medium,p0a,8780.64
S004,1,1,16,72.0,72.0,NUMBER,31,"The Jazz outscored the Lakers by 31 points in the fourth quarter, not 16.",qwen_medium,p0a,8780.64
S004,1,2,43 - 24,,,NUMBER,47 - 43,"The Jazz won the rebound battle 47-43, not 43-24.",qwen_medium,p0a,8780.64
S004,2,3,Kobe Bryant,,,NAME,None,Kobe Bryant was not mentioned in the provided box score and was not part of the game.,qwen_medium,p0a,8780.64
S004,3,4,D'Angelo Russell,,,WORD,Lou Williams,D'Angelo Russell did not lead the team in scoring; Lou Williams did with 17 points.,qwen_medium,p0a,8780.64
S004,3,5,"17 points , five rebounds and five assists",,,NUMBER,"9 points, 3 rebounds, and 5 assists","D'Angelo Russell's actual stats were 9 points, 3 rebounds, and 5 assists.",qwen_medium,p0a,8780.64
S004,4,6,D'Angelo Russell,,,WORD,Lou Williams,D'Angelo Russell did not lead the team in scoring; Lou Williams did with 17 points.,qwen_medium,p0a,8780.64
S004,4,7,"17 points , five rebounds and five assists",,,NUMBER,"9 points, 3 rebounds, and 5 assists","D'Angelo Russell's actual stats were 9 points, 3 rebounds, and 5 assists.",qwen_medium,p0a,8780.64
S004,5,8,Portland Trail Blazers,,,NAME,Los Angeles Clippers,"The Lakers' next game is against the Thunder in Oklahoma City, not the Portland Trail Blazers.",qwen_medium,p0a,8780.64
S004,6,9,four of their last five games,,,NUMBER,None,The statement about the Jazz's recent performance is not checkable with the provided data.,qwen_medium,p0a,8780.64
S004,7,10,continue to struggle,,,WORD,None,The statement about the Jazz struggling is not checkable with the provided data.,qwen_medium,p0a,8780.64
S004,8,11,Portland Trail Blazers,,,NAME,Los Angeles Clippers,"The Jazz's next game is against the Los Angeles Clippers, not the Portland Trail Blazers.",qwen_medium,p0a,8780.64
S005,1,1,15,27.0,27.0,NUMBER,13,The number of turnovers is incorrect. The correct number is 13.,qwen_medium,p0a,8780.64
S005,2,2,Millsap was right behind him,67.0,71.0,WORD,,"This sentence is redundant and incorrect. Tim Hardaway Jr. also scored 21 points, not Millsap being right behind himself.",qwen_medium,p0a,8780.64
S005,3,3,Kent Bazemore led the bench with 27 points,111.0,118.0,NUMBER,8 points,Kent Bazemore did not lead the bench with 27 points. He scored 8 points.,qwen_medium,p0a,8780.64
