TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Wednesday,18,18,,,NAME,Friday,"The game was played on Friday, not Wednesday."
S001,2,2,Friday,30,30,,,NAME,Wednesday,"The game was played on Wednesday, not Friday."
S001,,3,12 - double - double,,,,,NUMBER,12 rebounds,"Jae Crowder had 12 rebounds, not a 12-point double-double."
S001,5,4,18 - point,7,9,,,NUMBER,18 points,"Jae Crowder had 18 points, not a 18-point double-double."
S001,5,5,an assist,20,21,,,NUMBER,1 assist,"Jae Crowder had 1 assist, not an assist."
S001,6,6,a pair of steals,15,18,,,NUMBER,2 steals,"Jae Crowder had 2 steals, not a pair of steals."
S001,4,7,a block,17,18,,,NUMBER,1 block,"Jae Crowder had 1 block, not a block."
S001,9,8,10 points,8,9,,,NUMBER,7 points,"Kelly Olynyk had 7 points, not 10 points."
S001,9,9,nine rebounds,11,12,,,NUMBER,9 rebounds,"Kelly Olynyk had 9 rebounds, not nine rebounds."
S001,,10,a pair of steals,,,,,NUMBER,2 steals,"Kelly Olynyk had 2 steals, not a pair of steals."
S002,1,1,Atlanta Hawks,2,3,,,NAME,Cleveland Cavaliers,"The opposing team is the Cleveland Cavaliers, not the Atlanta Hawks."
S002,1,2,110 - 110,9,11,,,NUMBER,110 - 106,"The final score is 110 - 106, not 110 - 110."
S002,1,3,Saturday,18,18,,,NAME,Tuesday,"The game was played on Tuesday, not Saturday."
S002,,4,Hawks,,,,,NAME,Cavaliers,"The team that lost is the Cavaliers, not the Hawks."
S002,3,5,37 - 20,10,12,,,NUMBER,27 - 26,"The fourth quarter score was 27 - 26, not 37 - 20."
S002,4,6,21 assists to 19 turnovers,17,21,,,NUMBER,21 assists to 6 turnovers,"The Cavaliers had 21 assists and 6 turnovers, not 19 turnovers to 21 assists."
