TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S002,1,1,Atlanta Hawks,2.0,3.0,NAME,Cavaliers,"The story says Atlanta Hawks defeated Atlanta Hawks, but the box score says the game was between Atlanta Hawks and Cleveland Cavaliers.",llama_medium,p2_sent,10936.31
S002,9,1,Sunday,188.0,188.0,NOT_CHECKABLE,,No information about the next game in the box score data.,llama_medium,p2_sent,10936.31
S003,1,1,Saturday,17.0,17.0,WORD,Sunday,"The game was played on Sunday, not Saturday.",llama_medium,p2_sent,10936.31
S003,9,1,Friday,51.0,51.0,NOT_CHECKABLE,,No information about the day of the week is available in the JSON.,llama_medium,p2_sent,10936.31
S004,1,1,Utah,3.0,3.0,NAME,Jazz,"The team name is Jazz, not Utah.",llama_medium,p2_sent,10936.31
S004,17,1,Sunday,248.0,248.0,NOT_CHECKABLE,,The box score data does not provide information about future games.,llama_medium,p2_sent,10936.31
S006,1,1,Friday,22.0,22.0,CONTEXT,Tuesday,"The game was played on Tuesday, not Friday.",llama_medium,p2_sent,10936.31
S006,2,1,double-digit,,,NUMBER,single-digit,The Nets were not a double-digit favorite.,llama_medium,p2_sent,10936.31
S006,5,1,Wednesday,105.0,105.0,NOT_CHECKABLE,,No information about the next game in the JSON.,llama_medium,p2_sent,10936.31
S006,6,1,without,116.0,116.0,CONTEXT,with,"The story says the Nets played without Brook Lopez, but the JSON says he played.",llama_medium,p2_sent,10936.31
S006,9,1,Friday,22.0,22.0,NOT_CHECKABLE,,No information about the next game in the JSON.,llama_medium,p2_sent,10936.31
S009,1,1,Milwaukee Bucks defeated Los Angeles Lakers,,,CONTEXT,The Los Angeles Lakers defeated the Milwaukee Bucks,"The story says the Bucks won, but the JSON says the Lakers won.",llama_medium,p2_sent,10936.31
S009,2,1,prevail,35.0,35.0,CONTEXT,,The Bucks did not prevail with a huge road win.,llama_medium,p2_sent,10936.31
S009,6,1,41,129.0,129.0,NUMBER,14,"D'Angelo Russell scored 14 points, not 41.",llama_medium,p2_sent,10936.31
S009,7,1,Luol,145.0,145.0,NAME,Luol Deng,Player name misspelled,llama_medium,p2_sent,10936.31
S009,7,2,second,67.0,67.0,WORD,first,Player ranking incorrect,llama_medium,p2_sent,10936.31
S009,7,3,26,156.0,156.0,NUMBER,0,Points scored incorrect,llama_medium,p2_sent,10936.31
S009,7,4,three,132.0,132.0,NUMBER,3,Rebounds incorrect,llama_medium,p2_sent,10936.31
S009,7,5,two,26.0,26.0,NUMBER,0,Assists incorrect,llama_medium,p2_sent,10936.31
S009,9,1,Sunday,203.0,203.0,NOT_CHECKABLE,,No information about the next game in the JSON.,llama_medium,p2_sent,10936.31
S009,14,1,Friday,300.0,300.0,NOT_CHECKABLE,,Date of the game is not specified in the box score data.,llama_medium,p2_sent,10936.31
S011,1,1,Tuesday,22.0,22.0,WORD,Wednesday,"The game was played on Wednesday, not Tuesday.",llama_medium,p2_sent,10936.31
S011,2,1,29 - 18,46.0,48.0,NUMBER,30,"The Hawks scored 30 points in the first quarter, not 29.",llama_medium,p2_sent,10936.31
S011,6,1,John Wall,154.0,155.0,NAME,Jeff Teague,The story says John Wall but the JSON says Jeff Teague was the Hawks' top scorer.,llama_medium,p2_sent,10936.31
S012,1,1,Friday,19.0,19.0,NAME,Saturday,Incorrect day of the week,llama_medium,p2_sent,10936.31
S012,10,1,Suns,7.0,7.0,NAME,Nuggets,The team name is incorrect.,llama_medium,p2_sent,10936.31
S015,13,1,Timberwolves,380.0,380.0,NAME,Trail Blazers,"The team name is Trail Blazers, not Timberwolves.",llama_medium,p2_sent,10936.31
S016,1,1,Friday,25.0,25.0,WORD,Thursday,"The game was played on Thursday, not Friday.",llama_medium,p2_sent,10936.31
S016,2,1,29 - 8,57.0,59.0,NUMBER,29-8,The Thunder outscored the Jazz 29-8 in the third quarter.,llama_medium,p2_sent,10936.31
S016,12,1,two,192.0,192.0,NUMBER,six,The Thunder have now lost six in a row.,llama_medium,p2_sent,10936.31
S016,13,1,Saturday,448.0,448.0,NOT_CHECKABLE,,No information about the next game in the box score data.,llama_medium,p2_sent,10936.31
S016,14,1,Tuesday,464.0,464.0,NOT_CHECKABLE,,No information about the next game date in the box score data.,llama_medium,p2_sent,10936.31
S021,1,1,Saturday,18.0,18.0,WORD,Friday,Incorrect day of the week,llama_medium,p2_sent,10936.31
S022,12,1,Friday,18.0,18.0,NOT_CHECKABLE,,The JSON does not contain information about the next game.,llama_medium,p2_sent,10936.31
