TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,TIME_SECONDS
S001,3,1,the Celtics led their startes,,,grammatical,the starters led their,Incorrect use of possessive pronoun,qwen_small,2633.09
S001,3,2,startes,,,spelling,starters,Incorrect spelling,qwen_small,2633.09
S001,4,3,Isaiah Thomas led the Celtics in scoring,,,grammatical,Isaiah Thomas led the Celtics in scoring,Incorrect sentence structure,qwen_small,2633.09
S001,5,4,Al Horford stuffed the stat sheet,,,grammatical,Al Horford stuffed the stat sheet,Incorrect sentence structure,qwen_small,2633.09
S001,6,5,Marcus Smart was a presence off the bench,,,grammatical,Marcus Smart was a presence off the bench,Incorrect sentence structure,qwen_small,2633.09
S001,8,6,Lou Williams led the way for Los Angeles,,,grammatical,Lou Williams led the way for Los Angeles,Incorrect sentence structure,qwen_small,2633.09
S001,9,7,D'Angelo Russell led their startes,,,grammatical,D'Angelo Russell led their starters,Incorrect use of possessive pronoun,qwen_small,2633.09
S001,9,8,startes,,,spelling,starters,Incorrect spelling,qwen_small,2633.09
S001,13,9,Jae Crowder was next with 18 points,138.0,144.0,grammatical,"Jae Crowder was next with 18 points, six rebounds, an assist and two steals.",Sentence structure issue; repeats information,qwen_small,2633.09
S001,15,10,Jae Crowder,110.0,111.0,spelling,Jae Crowder,Duplicate entry,qwen_small,2633.09
S004,1,1,"The host Utah Jazz defeated the Los Angeles Lakers , 96 - 89 , at Vivint Smart Home Arena on Friday",1.0,21.0,,,Add missing article 'a' before Vivint Smart Home Arena,qwen_small,2633.09
S004,2,1,The Jazz ( 1 - 1 ),23.0,29.0,,,Add article 'a' before Jazz,qwen_small,2633.09
S004,2,2,have been one of the best teams in the NBA this season,30.0,41.0,,,Correct 'this season' to 'season',qwen_small,2633.09
S004,3,1,"Rebounding was key for the Jazz , as they held the Lakers to 38 % from the field and 24 % from three-point range .",,,,,Correct '38 percent' and '24 percent' to '38%' and '24%',qwen_small,2633.09
S004,6,1,"Luol Deng was the only other starter in double-figures , as he totaled 12 points and 12 rebounds .",,,,,Correct 'double-figures' to 'double figures',qwen_small,2633.09
S004,9,1,"George Hill was the player of the game , as he led the team with 23 points , three rebounds and three assists on 7- of- 14 shooting .",,,,,Correct '23 points' to '23',qwen_small,2633.09
S004,9,2,"Rudy Gobert finished second on the team , totaling 13 points , 13 rebounds and four blocks",304.0,320.0,,,"Add 'double' before double-double and correct 'and four blocks' to ', 13 rebounds, and four blocks'",qwen_small,2633.09
S006,1,1,The Houston Rockets,1.0,3.0,DATE_TIME,,"Incorrect date format, should be 'on Friday'",qwen_small,2633.09
S006,1,2,(10 -12),,,DATE_TIME,,"Incorrect score format, should be '10-12'",qwen_small,2633.09
S006,1,3,defeated,9.0,9.0,DATE_TIME,,"Incorrect tense, should be 'defeat'",qwen_small,2633.09
S006,2,4,double- digit,,,DATE_TIME,,"Incorrect hyphenation, should be 'double-digit'",qwen_small,2633.09
S006,3,5,The Nets,24.0,25.0,DATE_TIME,,"Incorrect tense, should be 'were'",qwen_small,2633.09
S006,4,6,Trevor Ariza,66.0,67.0,DATE_TIME,,"Incorrect tense, should be 'Trevor Ariza was'",qwen_small,2633.09
S006,6,7,or Wednesday,,,DATE_TIME,,"Incorrect spelling, should be 'on Wednesday'",qwen_small,2633.09
S006,12,8,without Brook,116.0,117.0,DATE_TIME,,"Incorrect article, should be 'without the Brook'",qwen_small,2633.09
S006,15,9,Thaddeus Young,163.0,164.0,DATE_TIME,,"Incorrect tense, should be 'were'",qwen_small,2633.09
S007,1,1,Russell Westbrook and Russell Westbrook,1.0,5.0,GRAMMAR,Russell Westbrook and Enes Kanter,"Both players' names are the same, causing confusion",qwen_small,2633.09
S007,1,2,Oklahoma City Thunder and Oklahoma City Thunder,,,GRAMMAR,Oklahoma City Thunder and Oklahoma City Thunder,"Both teams' names are the same, causing confusion",qwen_small,2633.09
S007,4,3,went on to finish,,,GRAMMAR,finished,"Incorrect verb tense, should be 'finished'",qwen_small,2633.09
S007,5,4,Oladipo added 23 points,,,TYPO,Oladipo added 23 points and did most of his damage by going a perfect 8-of-8 from the free throw line,"Sentence is incomplete, should contain additional information",qwen_small,2633.09
S007,6,5,Cousins filled a remarkable,,,TYPO,Kanter filled a remarkable box score line that was only overshadowed by Westbrook.,"Incorrect player name, should be 'Kanter'",qwen_small,2633.09
S007,12,6,Steven Adams chipped in 21,209.0,213.0,TYPO,"Enes Kanter chipped in 29 points on 10-of-18 shooting, in 32 minutes, while Steven Adams chipped in 21 points, four rebounds and one steal, in 27 minutes.",Incorrect player name and points,qwen_small,2633.09
