TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,,1,Los Angeles Lakers,,,,,NAME,Los Angeles,"The team name is correct, but the city is not. The game was played at TD Garden, which is in Boston."
S001,2,1,32,4,4,,,NUMBER,32-18,"The Celtics record is actually 32-18, not 32-36."
S001,3,1,six,16,16,,,NUMBER,four,"The sentence states that Isaiah Thomas had six assists, but according to the box score data, he had four assists."
S001,4,1,eight assists,14,15,,,NUMBER,seven assists,"Marcus Smart had seven assists, not eight."
S001,5,1,Jae Crowder,1,2,,,NAME,Jae Crowder is not present in the box score data,The player Jae Crowder is not present in the box score data.
S001,,1,Jae Crowder,,,,,NAME,Jae Crowder is not a player in the box score data,"The player is not in the box score data, so the sentence is not checkable."
S001,,1,Jae Crowder,,,,,NAME,Jae Crowder is not a player in the box score data,The player is not in the box score data
S001,4,1,eight assists,14,15,,,NUMBER,seven assists,"The Celtics box score data shows that Al Horford had 8 assists, but the story says he had 7 assists."
S001,,1,Kelly Olynyk,,,,,NAME,Lou Williams,"The sentence is referring to Lou Williams, not Kelly Olynyk."
S001,,1,,,,,,,,
S002,,1,Atlanta Hawks,,,,,NAME,Cavaliers,"The sentence incorrectly states that the Atlanta Hawks defeated the Atlanta Hawks, when in fact they defeated the Cavaliers."
S002,2,1,road,18,18,,,WORD,home,"The sentence says the Hawks had a huge road win, but the box score data does not contain information about the location of the game."
S002,1,1,Hawks,3,3,,,WORD,Cavaliers,"The sentence says the Hawks outscored the Hawks, but the box score data does not support this claim."
S002,,1,21 assists 19 turnovers 19 turnovers 21 assists,,,,,WORD,22 assists,The assist-to-turnover ratio was incorrectly stated.
S002,5,1,three,11,11,,,NUMBER,two,The Hawks have now won two of their last five games.
S002,6,1,17 rebounds,16,17,,,NUMBER,17 rebounds,"The player had 17 rebounds, not 17 points."
S002,,1,Kent Bazemore,,,,,WORD,Kent Bazemore was not far behind,"The sentence is trying to say that Bazemore was not far behind in points, but Bazemore actually had 25 points, which was the second highest score in the game."
S002,,1,Kent Bazemore,,,,,NAME,LeBron James,"The sentence states that Kent Bazemore was the only other starter in double figures, but according to the box score data, Lebron James was also a starter in double figures."
S002,9,1,Sunday,8,8,,,WORD,Tuesday,"The story says the Hawks will play the Raptors on Sunday, but the box score data says the game was played on Tuesday."
S002,5,1,three,11,11,,,NUMBER,six,"The Cavaliers have now won six of their last five games, not three."
S002,,1,LeBron James,,,,,NAME,LeBron James did all he could for the Hawks,"The sentence states that Lebron James played for Cleveland, but the box score data shows that he played for the Hawks."
S002,12,1,second,4,4,,,WORD,first,"Kyrie Irving was first on the team in points, not second."
S002,12,1,second,4,4,,,WORD,first,"Kevin Love finished first on the team, not second."
S002,7,1,25,9,9,,,NUMBER,0,"The player Tristan Thompson scored 0 points, not 25."
S002,9,1,Sunday,8,8,,,NAME,Wednesday,"The Cavaliers play the Orlando Magic on Wednesday, not Sunday."
S003,1,1,Saturday,17,17,,,WORD,Sunday,"The game was played on Sunday, not Saturday."
S003,,1,30 - point victory,,,,,NUMBER,109 - 79,"The margin of victory was 30 points, but the actual score was 109-79, which is a 30 point difference."
