TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Boston Celtics,2,3,,,NAME,Los Angeles,"The story incorrectly names the away team as Boston Celtics, when it should be Los Angeles Lakers."
S001,,1,33 - 21,,,,,NUMBER,33-21,"The JSON box score data shows the correct score as 33-21, not just 33-21."
S001,,1,six assists two rebounds and,,,,,NUMBER,three,"The story says Isaiah Thomas had six assists, but the box score says he had three."
S001,4,1,Horford was right behind him,2,6,,,NAME,Al Horford,The story misspelled Al Horford's first name.
S001,5,1,Crowder was next with a,2,6,,,NAME,Jae Crowder,The story misspelled Jae Crowder's name.
S001,5,1,Jae Crowder,1,2,,,NAME,"Jae Crowder was not the player who scored 18 points, six rebounds, an assist and a pair of steals.","The JSON does not mention Jae Crowder's stats, but rather Jae Crowder's teammate, Jae Crowder is mentioned in the JSON with the key '13'."
S001,5,1,Jae Crowder,1,2,,,NAME,"Jae Crowder was not the player who scored 18 points, six rebounds, an assist and two steals.","The JSON does not mention Jae Crowder's stats, but rather Jae Crowder's teammate, Jae Crowder is mentioned in the JSON with the key '13'."
S001,,1,supplied eight rebounds eight assists,,,,,NUMBER,six,"The JSON says Al Horford had six rebounds, not eight."
S001,9,1,Kelly Olynyk,1,2,,,NAME,Isaiah Thomas,The story incorrectly identifies the player who led the second unit.
S001,,1,Boston await the Toronto Raptors,,,,,NAME,Detroit Pistons,"The story incorrectly mentions the opposing team as Toronto Raptors, when it should be Detroit Pistons."
S002,1,1,Atlanta Hawks,2,3,,,NAME,Cleveland,"The story incorrectly names the home team as Atlanta Hawks, while the JSON data indicates it was the Cleveland Cavaliers."
S002,2,1,struggling,6,6,,,NAME,Cavaliers,"The story says'struggling teams', but the box score data shows the Cavaliers as the home team."
S002,1,1,Hawks,3,3,,,NAME,Cavaliers,The story incorrectly names the opposing team.
S002,4,1,21 assists to 19 turnovers,17,21,,,NUMBER,21 assists to 19 turnovers,"The story says the Hawks had 21 assists to 19 turnovers, but the JSON says the Hawks had 22 assists to 19 turnovers."
S002,,1,Hawks have now won three,,,,,NUMBER,two,"The story says the Hawks have won three of their last five games, but the correct number is two."
S002,,1,points 17 rebounds,,,,,NUMBER,15,"The story says Dwight Howard had 17 points and 17 rebounds, but the JSON shows he had 17 rebounds and 7 points."
S002,7,1,25 points,9,10,,,NUMBER,23,"The story says Kent Bazemore tallied 25 points, but the JSON says he tallied 23 points."
S002,8,1,Kent Bazemore was the only,1,5,,,NAME,"Kent Bazemore was not the only other starter in double figures, but one of them was","The JSON shows multiple players with double figures, not just Kent Bazemore"
S002,,1,Cleveland 's unblemished mark,,,,,NAME,Cleveland's (6-1),The story incorrectly capitalizes the 'C' in 'Cleveland'
S002,,1,six 1,,,,,NUMBER,6,"The story says the Cavaliers have now won three of their last five games, as they continue to struggle, but the correct win-loss record is 6-1."
S002,11,1,23 points,16,17,,,NUMBER,29,"The story says LeBron James had 23 points, but the box score says he had 29 points."
S002,,1,points four,,,,,NUMBER,three,"The story says Kyrie Irving accrued four rebounds, but the JSON says he had three rebounds."
S002,,1,second on the team collecting,,,,,NUMBER,11,"The story says Kevin Love finished second on the team with 24 points, 11 rebounds and three steals, but the JSON says 12 rebounds."
S002,14,1,Tristan Thompson was a nice,1,5,,,NAME,"Tristan Thompson was a nice spark off the bench, providing 25 points, two rebounds and four assists.","The JSON lists Tristan Thompson's stats as 0 points, 2 rebounds, and 0 assists."
S002,,1,29 points which he needed,,,,,NUMBER,27,"The story says Kyrie Irving needed 29 shot attempts to get to his game-high 29 points, but the JSON says he needed 27."
S003,1,1,Saturday,17,17,,,NUMBER,Sunday,"The story says the game was on Saturday, but the box score says it was on Sunday."
S003,,1,Raptors 19 -8,,,,,NAME,19-8,"The story incorrectly spells the team's record as '19-8' twice, when it should be '19-8' once."
S003,,1,game -high,,,,,NUMBER,31,"The story claims DeMar DeRozan posted a game-high 31 points, but the JSON shows he actually scored 31 points."
S003,,1,16 point 10 -,,,,,NUMBER,15,"The story says Kyle Lowry had 16 points and 10 assists, but the box score says he had 16 points and 10 assists in a different context."
S003,5,1,Jonas Valanciunas,1,2,,,NAME,"Valanciunas, Jonas",The story misspelled the player's name.
S003,,1,16 point 13 rebound,,,,,NUMBER,"16 point 13 rebound double-double that also included a block, a block, and a block","The JSON shows Jonas Valanciunas had 16 points and 13 rebounds, but the story incorrectly adds a block."
S003,7,1,productive in a reserve role,4,8,,,WORD,"Terrence Ross was the player of the game, as he tallied 11 points, two rebounds, a steal and a block.","The story says Ross was productive in a reserve role, but the JSON says he was the player of the game."
S003,8,1,third place,4,5,,,NUMBER,second,"The JSON says the Raptors are in second place, not third."
S003,3,1,DeMar DeRozan,6,7,,,NAME,DeMar DeRozan,The story misspelled DeMar DeRozan's name.
S003,10,1,Elfrid Payton,7,8,,,NAME,Elfrid Payton is not in the box score data. The correct player is Elfrid Payton is not in the box score data. The correct player is DeMarre Carroll.,"The story mentions Elfrid Payton, but the box score data does not have a player with that name. The correct player is DeMarre Carroll."
S003,11,1,Aaron Gordon,1,2,,,NAME,"Aaron Gordon was next with a 10-point, 12-rebound double-double that also included an assist, a steal and a block.","The JSON does not have a player named Aaron Gordon, but rather Aaron Gordon is a player from the Orlando Magic."
S003,10,1,Elfrid Payton,7,8,,,NAME,Elfrid Payton was not in the box score data. The correct player is Elfrid Payton was not in the box score data. The correct player is not mentioned in the JSON.,"The story mentions Elfrid Payton, but the JSON does not have a player with that name."
S003,11,1,Aaron Gordon,1,2,,,NAME,Aaron Gordon,The story misspelled Aaron Gordon's name.
S003,14,1,Augustin was productive in a,2,6,,,NAME,D.J. Augustin,The story misspelled the player's first name.
S003,15,1,Raptors remain in last place,2,6,,,NAME,Magic,"The story incorrectly states the Raptors' position, while the box score data shows the Magic's position."
S003,,1,Tuesday,,,,,NUMBER,Monday,"The story says the game is on Tuesday, but the JSON says the game is on Sunday."
S004,1,1,Utah,3,3,,,NAME,Los Angeles,The story incorrectly states the city where the game was played.
S004,,1,Jazz star Derrick Favors,,,,,NAME,Derrick Favors,"The JSON says the correct spelling is 'Derrick Favors', but the story has 'Favors' as a standalone name."
S004,3,1,majority,9,9,,,WORD,majority of the preseason,The JSON says'majority of the preseason' but the story says'majority'
S004,,1,key was key for the,,,,,WORD,rebounding,The story says 'key' instead of'rebounding'
S004,,1,Jazz winning that battle 43 -,,,,,NUMBER,24,"The story says the Jazz won the rebounding battle 43-24, but the JSON shows the Jazz won 47-43."
S004,,1,15 points,,,,,NUMBER,14,"The JSON says Derrick Favors played 14 minutes, but the story says 20 minutes."
S004,,1,points five rebounds five,,,,,NUMBER,three,"The story says D'Angelo Russell had five points, five rebounds, and five assists, but the JSON says he had three assists."
S004,,1,Derrick Favors,,,,,NAME,Derrick Favors,"The JSON says 'Derrick Favors', but the story says 'Derrick Favors' is a 'Jazz star'"
S004,,1,17 points five rebounds,,,,,NUMBER,"17 points, four rebounds and five assists","The story incorrectly states that D'Angelo Russell had five rebounds, when the JSON shows four rebounds."
S004,,1,Derrick Favors,,,,,NAME,Derrick Favors,"The JSON says 'Derrick Favors', but the story says 'Derrick Favors' is a 'Jazz star'"
S004,,1,15 points,,,,,NUMBER,14,"The JSON says Favors played 14 minutes, but the story says 20 minutes."
S004,,1,15 points,,,,,NUMBER,20,"The story says Favors scored 15 points, but the box score says he scored 20 points."
S004,13,1,George Hill,1,2,,,NAME,"George Hill was not the player of the game, as he led the team with 23 points, three rebounds and three assists on 7-of-14 shooting.",The story incorrectly identifies the player of the game.
S004,,1,points 13 rebounds,,,,,NUMBER,12,"The story says Rudy Gobert had 13 points and 13 rebounds, but the box score says he had 13 points and 12 rebounds."
S004,14,1,13 points,10,11,,,NUMBER,9,"The JSON says Rudy Gobert had 9 points, but the story says 13 points."
S004,,1,13 points 13 rebounds,,,,,NUMBER,12,"The JSON says Rudy Gobert had 12 rebounds, not 13."
S004,,1,15 points and nine rebounds,,,,,NUMBER,20,"The story says Favors had 15 points and nine rebounds in 20 minutes, but the JSON says he had 20 minutes."
S005,1,1,Hawks held the Magic to,2,6,,,NAME,Hawks (30-21),"The story incorrectly states the Hawks' record as (30-21), when the JSON shows it as (30-21)"
S005,2,1,Paul Millsap,1,2,,,NAME,"Tim Hardaway, Jr.","The story incorrectly names Paul Millsap as the player who led the Hawks with a game-high 21 points, when the JSON actually shows Tim Hardaway, Jr. as the player who achieved this feat."
S005,3,1,Millsap was right behind him,1,5,,,NAME,Paul Millsap,The story incorrectly spells the player's name as 'Millsap' instead of 'Millsap' spelled correctly in the JSON.
S005,,1,11-point 13-rebound double-double,,,,,NUMBER,"11-point, 13-rebound, double-double that also included three assists, one steal and one block","The story says Dwight Howard posted a 11-point, 13-rebound double-double that also included three assists, one steal and one block, but the JSON says it included three assists, one steal and one block, not one block."
S005,5,1,Kent Bazemore,1,2,,,NAME,Kent Bazemore,The story incorrectly spelled the name of the player.
S005,6,1,Kent Bazemore led the second,1,5,,,NAME,Kent Bazemore,"The story says Kent Bazemore led the second unit, but the JSON says Kent Bazemore played for the Atlanta Hawks, not the second unit."
S005,2,1,Paul Millsap led the way,1,5,,,NAME,"Tim Hardaway, Jr.","The story incorrectly names Paul Millsap as the leader, when the JSON data shows Tim Hardaway, Jr. as the player with 21 points."
S005,,1,11-point 13-rebound double-double,,,,,NUMBER,"11-point, 13-rebound, double-double that also included three assists, one steal and one block","The story says Dwight Howard posted a 11-point, 13-rebound double-double that also included three assists, one steal and one block, but the JSON says it included three assists, one steal and one block, not one block."
S005,5,1,Kent Bazemore,1,2,,,NAME,"Kent Bazemore is not in the JSON data, but Kent is not present in the JSON either. The correct name is Kent Bazemore, but the JSON has Kent Bazemore as Kent Bazemore, not Kent.","The story mentions Kent Bazemore, but the JSON does not have a player named Kent, only Kent Bazemore."
S005,10,1,Magic head back home to face,2,7,,,NAME,Hawks,The story incorrectly states the team the Magic will face on Monday night.
S006,1,1,Houston Rockets,2,3,,,NAME,Brooklyn,"The story incorrectly names the visiting team as Houston Rockets, but the JSON data shows it as Brooklyn Nets."
S006,2,1,came into this game as,3,7,,,WORD,came into the game as a double-digit underdog and they didn't disappoint.,"The story says the Nets came in as a double-digit favorite, but the JSON says they were underdogs."
S006,,1,Harden tallied 10 points nine,,,,,NUMBER,9,"The JSON says James Harden had 9 assists, not 9 points."
S006,4,1,Trevor Ariza,1,2,,,NAME,"Trevor Ariza was the only other starter in double figures, as he tallied 2 points, four rebounds and four assists in the defeat.","The story says Trevor Ariza tallied 2 points, four rebounds and four assists, but the JSON says he tallied 2 points, four rebounds and four assists in the defeat."
S006,3,1,10 points,10,11,,,NUMBER,11,"The story says James Harden had a season-low 10 points, but the JSON says he had 11 points."
S006,1,1,Nets,12,12,,,NAME,Brooklyn,The story incorrectly names the home team as 'Nets' instead of 'Brooklyn'.
S006,6,1,Brook Lopez,7,8,,,NAME,Brook Lopez,"The JSON says the correct spelling is 'Brook Lopez', but the story has 'Brook Lopez' as two separate words."
S006,8,1,Young,2,2,,,NAME,Thaddeus Young,The story misspells the player's name.
S006,3,1,10 points,10,11,,,NUMBER,11,"The story says James Harden had a season-low 10 points, but the JSON shows he had 11 points."
S007,1,1,Russell Westbrook and Russell Westbrook,1,5,,,NAME,Westbrook,"The story incorrectly mentions Russell Westbrook twice, when it should be once."
