TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,1,1,Los Angeles,,,6,7,NAME,Boston,"The game was played in Boston, not Los Angeles."
S001,2,1,30-point,,,,,NUMBER,29-point,The Celtics came in to Friday's contest with a 29-point win over the Lakers.
S001,3,1,six,,,82,82,NUMBER,five,"The sentence claims the team was led by Isaiah Thomas's 38 points, which he supplemented with six assists, two rebounds and a steal, but the correct number of assists is not provided."
S001,4,1,behind,,,95,95,WORD,ahead,The sentence should read 'ahead' instead of 'behind'.
S001,5,1,18 12,,,,,NUMBER,17,"The box score shows Jae Crowder had 17 rebounds, not 12."
S001,6,1,Crowder,,,111,111,NAME,"Crowder was not the player with 18 points, six rebounds, an assist and a pair of steals. The correct player is not in the provided box score data.","The player's name is not in the box score data, so it cannot be verified."
S001,7,1,Crowder,,,111,111,NAME,"Crowder was not the player who scored 18 points, six rebounds, an assist and two steals.",The correct player is not specified in the provided box score data.
S001,8,1,Horford,,,92,92,NAME,Horford,The player's name is misspelled.
S001,9,1,second unit,,,193,194,WORD,first unit,The sentence incorrectly describes the unit Kelly Olynyk led.
S001,10,1,four,,,,,NUMBER,six,"The sentence claims the Celtics had four rebounds, but the correct number is six."
S002,1,1,Atlanta,,,2,2,NAME,Cleveland,The Hawks defeated the wrong team.
S002,2,1,huge,,,37,37,WORD,big,"The word 'huge' is not present in the box score data, and a more accurate description of the win would be 'big'."
S002,3,1,Hawks,,,3,3,NAME,Cavaliers,"The Hawks outscored the Cavaliers, not the Hawks."
S002,4,1,unblemished,,,,,WORD,blemished,The correct term is 'blemished' instead of 'unblemished'.
S002,5,1,three,,,102,102,NUMBER,four,The Hawks have now won four of their last five games.
S002,6,1,17,,,127,127,NUMBER,15,"Dwight Howard tallied 15 rebounds, not 17."
S002,7,1,25,,,151,151,NUMBER,24,"Kent Bazemore's points should be 24, not 25."
S002,8,1,25,,,151,151,NUMBER,24,"Kent Bazemore's points should be 24, not 25."
S002,9,1,four,,,259,259,NUMBER,five,"The Hawks had four of their victories having come at home, but the correct number is five."
S002,10,1,three,,,102,102,NUMBER,four,The Cavaliers have now won four of their last five games.
S002,11,1,23,,,236,236,NUMBER,29,LeBron James actually scored 29 points.
S002,12,1,second,,,248,248,NUMBER,first,"Kyrie Irving was first on the team, not second."
S002,13,1,second,,,248,248,NUMBER,third,"Kevin Love finished third on the team, not second."
S002,14,1,Tristan Thompson,,,283,284,NAME,Tristan Love,Tristan Thompson's name should be corrected to Tristan Love.
S002,15,1,Sunday,,,188,188,NOT_CHECKABLE,,The game's date is not specified in the box score data.
S003,1,1,Saturday,,,17,17,WORD,Sunday,"The game was played on Sunday, not Saturday."
S003,2,1,Raptors,,,3,3,NAME,Magic,"The correct team name is Magic, not Raptors."
S003,3,1,game-high,,,,,WORD,"game-high is not a standard term, use 'career-high' or'season-high'","The term 'game-high' is not commonly used in sports reporting, use more standard terms like 'career-high' or'season-high'"
S003,4,1,16 10,,,,,NUMBER,15,The number of assists is incorrect.
S003,5,1,16 13,,,,,NUMBER,15 12,Incorrect rebound numbers in Jonas Valanciunas' double-double.
S003,6,1,16 13,,,,,NUMBER,15 12,"Jonas Valanciunas posted a 15-point, 12-rebound double-double that also included a block, a block and a block."
S003,7,1,productive,,,186,186,WORD,productive,The word 'productive' is not a suitable adjective to describe Terrence Ross's role in the game.
S003,8,1,third,,,209,209,NUMBER,seventh,The correct ranking of Toronto in the Eastern Conference's Atlantic Division.
S003,9,1,five,,,90,90,NUMBER,six,"The correct number of rebounds DeMar DeRozan tallied is six, not five."
S003,10,1,Elfrid,,,252,252,NAME,Evan,The player's name is incorrect.
S003,11,1,10,,,111,111,NUMBER,12,Aaron Gordon's double-double stats were incorrect.
S003,12,1,Elfrid,,,252,252,NAME,Evan,The player's name is incorrect.
S003,13,1,10,,,111,111,NUMBER,12,Aaron Gordon's double-double stats were incorrect.
S003,14,1,productive reserve,,,,,WORD,starting,"The word 'productive' is not the correct word to describe DJ Augustin's role, as he was a starter."
S003,15,1,first,,,,,OTHER,,"The sentence is not about the first place in the Eastern Conference's Southeast Division, but rather the Raptors' current position."
S003,16,1,home again,,,383,384,WORD,away,"The game was actually on Tuesday, not Friday."
S004,1,1,Los Angeles,,,7,8,NAME,Salt Lake City,"The game was played in Salt Lake City, not Los Angeles."
S004,2,1,15 points,,,,,NUMBER,14 points,"The correct number of points scored by Favors is 14, not 15."
S004,3,1,majority,,,61,61,WORD,majority of,"The word'majority' is not a correct word in this context, it should be'majority of'."
S004,4,1,38 24,,,,,NUMBER,"39, 25",The Jazz held the Lakers to 39% from the field and 25% from three-point range.
S004,5,1,43 24,,,,,NUMBER,47,The Jazz won the rebounding battle by a margin of 19.
S004,6,1,four,,,260,260,NUMBER,three,"The Lakers had a 1-3 record, not 1-4."
S004,7,1,D'Angelo,,,153,153,NAME,D'Angelo Russell,The player's first name is not specified in the story.
S004,8,1,12,,,187,187,NUMBER,11,Incorrect rebound count
S004,9,1,D'Angelo,,,153,153,NAME,Lonzo,The player's name is incorrect.
