TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,1,1,32 -18,,,NUMBER,32-18,The team's record should be consistent throughout the text.,qwen_small,p0a,2286.21
S001,1,2,30 -point,,,NUMBER,33-21,The score difference in the second quarter is incorrect.,qwen_small,p0a,2286.21
S001,1,3,Wednesday,18.0,18.0,NAME,Thursday,"The game was actually played on Thursday, not Wednesday.",qwen_small,p0a,2286.21
S001,2,4,32 -18,,,NUMBER,32-18,The team's record should be consistent throughout the text.,qwen_small,p0a,2286.21
S001,2,5,30 -point,,,NUMBER,33-21,The score difference in the second quarter is incorrect.,qwen_small,p0a,2286.21
S001,3,6,Isaiah Thomas,72.0,73.0,NAME,Isaiah Thomas,The full name should be used consistently.,qwen_small,p0a,2286.21
S001,3,7,38 points,75.0,76.0,NUMBER,"17 points, 38 total",The points distribution in the fourth quarter is incorrect.,qwen_small,p0a,2286.21
S001,4,8,11 points 8 rebounds 8 assists,,,NUMBER,"11 points, 8 rebounds, 8 assists",The stats for Al Horford are incorrect.,qwen_small,p0a,2286.21
S001,5,9,18 points 12 rebounds,,,NUMBER,"18 points, 12 rebounds",The stats for Jae Crowder are incorrect.,qwen_small,p0a,2286.21
S001,6,10,18 points 6 rebounds an assist and two steals,,,NUMBER,"18 points, 6 rebounds, an assist, and two steals",The stats for Jae Crowder are incorrect.,qwen_small,p0a,2286.21
S001,7,11,11 points 8 rebounds 8 assists,,,NUMBER,"11 points, 8 rebounds, 8 assists",The stats for Al Horford are incorrect.,qwen_small,p0a,2286.21
S001,8,12,10 points 9 rebounds 2 assists and a pair of steals,,,NUMBER,"10 points, 9 rebounds, 2 assists, and a pair of steals",The stats for Kelly Olynyk are incorrect.,qwen_small,p0a,2286.21
S001,9,13,Detroit Pistons,220.0,221.0,NAME,Golden State Warriors,The visiting team's next opponent is incorrect.,qwen_small,p0a,2286.21
S001,9,14,Wednesday night,238.0,239.0,NAME,Thursday night,The game day is incorrect.,qwen_small,p0a,2286.21
S002,1,1,Atlanta Hawks,2.0,3.0,NAME,Cleveland Cavaliers,"The home team is the Cleveland Cavaliers, not the Atlanta Hawks.",qwen_small,p0a,2286.21
S002,1,2,110 - 110,9.0,11.0,NUMBER,110-106,"The score is 110-106, not 110-110.",qwen_small,p0a,2286.21
S002,1,3,Saturday night,18.0,19.0,NAME,Tuesday,"The game was played on Tuesday, not Saturday.",qwen_small,p0a,2286.21
S002,2,4,Hawks outscored the Hawks,45.0,48.0,NAME,Cavaliers,"The Hawks did not outscore the Hawks, but the Cavaliers.",qwen_small,p0a,2286.21
S002,2,5,37 - 20,50.0,52.0,NUMBER,37-26,"The Hawks scored 37 points in the fourth quarter, not 37-20.",qwen_small,p0a,2286.21
S002,2,6,21 assists to 19 turnovers,75.0,79.0,NUMBER,21 assists to 21 turnovers,"Both teams had 21 assists, not 21 assists to 19 turnovers.",qwen_small,p0a,2286.21
S002,3,7,5 - 2,95.0,97.0,NUMBER,6-1,"The Hawks' record is 6-1, not 5-2.",qwen_small,p0a,2286.21
S002,4,8,Dwight Howard,115.0,116.0,NAME,LeBron James,"LeBron James was not the player of the game, but Dwight Howard was.",qwen_small,p0a,2286.21
S002,5,9,"25 points , six rebounds and three assists",151.0,158.0,NUMBER,"25 points, six rebounds and three assists","Kent Bazemore did not score 25 points, but Bazemore did.",qwen_small,p0a,2286.21
S002,6,10,"25 points , six rebounds and three assists",151.0,158.0,NUMBER,"25 points, six rebounds and three assists","Kent Bazemore did not score 25 points, but Bazemore did.",qwen_small,p0a,2286.21
S002,7,11,"23 points , nine rebounds , five assists , three steals",,,NUMBER,"23 points, nine rebounds, five assists and three steals","LeBron James did not record three steals, but LeBron James recorded five assists and three steals.",qwen_small,p0a,2286.21
S002,8,12,"29 points , four rebounds , four assists",,,NUMBER,"29 points, four rebounds and four assists","Kyrie Irving did not record four rebounds, but Kyrie Irving recorded four assists.",qwen_small,p0a,2286.21
