TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,LEFT_CONTEXT,RIGHT_CONTEXT,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S001,5,1,38,"Thomas led the Celtics in scoring, as he dropped 17 of his ",points in the fourth quarter.,75.0,75.0,NUMBER,32,"Box score shows Isaiah Thomas scored 17 of his 38 points in the fourth quarter, which is incorrect. The box score states he scored 38 points total.",qwen_small,p4,601.24
S001,2,2,32 -18,The Celtics ( 32 - 18 ) came into this game as a double - ,.,,,NUMBER,30-18,"The correct win-loss record for the Celtics is 30-18, not 32-18.",qwen_small,p4,601.24
S001,2,3,17 -36,but the Celtics ( 32 - 18 ) came in to Friday 's contest with a 30 - point win over the Lakers ( 17 - ,.,,,NUMBER,18-36,"The correct win-loss record for the Lakers is 18-36, not 17-36.",qwen_small,p4,601.24
S003,2,1,19 8,Raptors,(19-8),44.0,45.0,NUMBER,"12, 17",Box score shows 12-17 record for Orlando Magic.,qwen_small,p4,601.24
S003,6,1,31,"DeMar DeRozan, who posted a game-","points, which",83.0,83.0,NUMBER,54,"Box score shows DeMar DeRozan scored 31 points, not a game-high 54.",qwen_small,p4,601.24
S003,8,1,16,Kyle Lowry was right behind him with a 16-,"points, three rebounds",161.0,161.0,NUMBER,29,"Box score shows Kyle Lowry had 16 points, not a game-high 29.",qwen_small,p4,601.24
S003,9,1,16,Jonas Valanciunas was next with a 16-,"points, 13",161.0,161.0,NUMBER,25,"Box score shows Jonas Valanciunas scored 16 points, not a game-high 25.",qwen_small,p4,601.24
S003,9,2,13,Terrence Ross was productive in a reserve role as well with 11,"points, two rebounds",302.0,302.0,NUMBER,18,"Box score shows Terrence Ross scored 11 points, not 13.",qwen_small,p4,601.24
S003,26,1,13,"Elfrid Payton was next with 13 points, two assists, two rebounds and a steal.",,302.0,302.0,NUMBER,8,"Box score shows Elfrid Payton scored 13 points, not a game-high 8.",qwen_small,p4,601.24
S003,27,1,10,Aaron Gordon was next with a 10-,"points, 12",320.0,320.0,NUMBER,15,"Box score shows Aaron Gordon had 10 points, not a game-high 15.",qwen_small,p4,601.24
S003,30,1,11,DJ Augustin was productive in a reserve role as well with 11,"points, three rebounds",353.0,353.0,NUMBER,8,"Box score shows DJ Augustin scored 11 points, not 8.",qwen_small,p4,601.24
S004,12,1,7,"made a major impact on the defensive end with four blocks. Gobert's six offensive rebounds also helped the Jazz overcome a poor perimeter shooting night, offering Utah a number of second-chance attempts. The Lakers, meanwhile, received troubling news, as rookie Brandon Ingram was forced to leave the game with a knee injury after just four minutes of play.",", though not appearing to be serious, the second overall pick will likely be monitored closely going forward.",297.0,297.0,NUMBER,39,"Box score shows 39 percent from three-point range, not 7 percent.",qwen_small,p4,601.24
