TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,,1,32 -18,,,,,NUMBER,32-18,The team's record should be consistent throughout the text.
S001,,2,30 -point,,,,,NUMBER,33-21,The score difference in the second quarter is incorrect.
S001,1,3,Wednesday,18,18,,,NAME,Thursday,"The game was actually played on Thursday, not Wednesday."
S001,,4,32 -18,,,,,NUMBER,32-18,The team's record should be consistent throughout the text.
S001,,5,30 -point,,,,,NUMBER,33-21,The score difference in the second quarter is incorrect.
S001,3,6,Isaiah Thomas,6,7,,,NAME,Isaiah Thomas,The full name should be used consistently.
S001,3,7,38 points,9,10,,,NUMBER,"17 points, 38 total",The points distribution in the fourth quarter is incorrect.
S001,,8,11 points 8 rebounds 8 assists,,,,,NUMBER,"11 points, 8 rebounds, 8 assists",The stats for Al Horford are incorrect.
S001,,9,18 points 12 rebounds,,,,,NUMBER,"18 points, 12 rebounds",The stats for Jae Crowder are incorrect.
S001,,10,18 points 6 rebounds an assist and two steals,,,,,NUMBER,"18 points, 6 rebounds, an assist, and two steals",The stats for Jae Crowder are incorrect.
S001,,11,11 points 8 rebounds 8 assists,,,,,NUMBER,"11 points, 8 rebounds, 8 assists",The stats for Al Horford are incorrect.
S001,,12,10 points 9 rebounds 2 assists and a pair of steals,,,,,NUMBER,"10 points, 9 rebounds, 2 assists, and a pair of steals",The stats for Kelly Olynyk are incorrect.
S001,10,13,Detroit Pistons,11,12,,,NAME,Golden State Warriors,The visiting team's next opponent is incorrect.
S001,10,14,Wednesday night,29,30,,,NAME,Thursday night,The game day is incorrect.
S002,1,1,Atlanta Hawks,2,3,,,NAME,Cleveland Cavaliers,"The home team is the Cleveland Cavaliers, not the Atlanta Hawks."
S002,1,2,110 - 110,9,11,,,NUMBER,110-106,"The score is 110-106, not 110-110."
S002,1,3,Saturday night,18,19,,,NAME,Tuesday,"The game was played on Tuesday, not Saturday."
S002,3,4,Hawks outscored the Hawks,5,8,,,NAME,Cavaliers,"The Hawks did not outscore the Hawks, but the Cavaliers."
S002,3,5,37 - 20,10,12,,,NUMBER,37-26,"The Hawks scored 37 points in the fourth quarter, not 37-20."
S002,4,6,21 assists to 19 turnovers,17,21,,,NUMBER,21 assists to 21 turnovers,"Both teams had 21 assists, not 21 assists to 19 turnovers."
S002,5,7,5 - 2,4,6,,,NUMBER,6-1,"The Hawks' record is 6-1, not 5-2."
S002,6,8,Dwight Howard,1,2,,,NAME,LeBron James,"LeBron James was not the player of the game, but Dwight Howard was."
S002,7,9,"25 points , six rebounds and three assists",9,16,,,NUMBER,"25 points, six rebounds and three assists","Kent Bazemore did not score 25 points, but Bazemore did."
