TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,SENT_TOKEN_START,SENT_TOKEN_END,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT
S001,6,9,Jae Crowder was next with 18 points,1,7,,,GRAMMATICAL,"Jae Crowder was next with 18 points, six rebounds, an assist and two steals.",Sentence structure issue; repeats information
S001,5,10,Jae Crowder,1,2,,,SPELLING,Jae Crowder,Duplicate entry
S004,1,1,"The host Utah Jazz defeated the Los Angeles Lakers , 96 - 89 , at Vivint Smart Home Arena on Friday",1,21,,,,,Add missing article 'a' before Vivint Smart Home Arena
S004,2,1,The Jazz ( 1 - 1 ),1,7,,,,,Add article 'a' before Jazz
S004,2,2,have been one of the best teams in the NBA this season,8,19,,,,,Correct 'this season' to 'season'
S004,14,2,"Rudy Gobert finished second on the team , totaling 13 points , 13 rebounds and four blocks",1,17,,,,,"Add 'double' before double-double and correct 'and four blocks' to ', 13 rebounds, and four blocks'"
S006,1,1,The Houston Rockets,1,3,,,DATE_TIME,,"Incorrect date format, should be 'on Friday'"
S006,1,3,defeated,9,9,,,DATE_TIME,,"Incorrect tense, should be 'defeat'"
S006,2,5,The Nets,1,2,,,DATE_TIME,,"Incorrect tense, should be 'were'"
S006,4,6,Trevor Ariza,1,2,,,DATE_TIME,,"Incorrect tense, should be 'Trevor Ariza was'"
S006,6,8,without Brook,6,7,,,DATE_TIME,,"Incorrect article, should be 'without the Brook'"
S006,8,9,Thaddeus Young,1,2,,,DATE_TIME,,"Incorrect tense, should be 'were'"
S007,1,1,Russell Westbrook and Russell Westbrook,1,5,,,GRAMMAR,Russell Westbrook and Enes Kanter,"Both players' names are the same, causing confusion"
S007,6,6,Steven Adams chipped in 21,21,25,,,TYPO,"Enes Kanter chipped in 29 points on 10-of-18 shooting, in 32 minutes, while Steven Adams chipped in 21 points, four rebounds and one steal, in 27 minutes.",Incorrect player name and points
S010,1,1,Atlanta Hawks,2,3,,,TEAM,Orlando Magic,"The Hawks were the visiting team, not Atlanta Hawks"
S010,6,2,19 - 16,4,6,,,,16-21,The correct record for Orlando Magic
